Course,Department,Credits,Pre-Requisites,Co-Requisites,Semesters
ESL 0480,Advanced Communicative Grammar II,English as a Second Language,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0490,Advanced Special Topics,English as a Second Language,variable to   6.0;  May be repeated; Graded Pass/Fail Only,,,On Demand
ESL 0491,Transitional Writing,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0492,Transitional Listening and Speaking,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0493,Transitional Reading and Vocabulary,English as a Second Language,3.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0495,TOEFL Preparation,English as a Second Language,1.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring"
ESL 0499,Advanced Independent Study,English as a Second Language,variable to   6.0;  May be repeated; Graded Pass/Fail Only,,,On Demand
ESL 0520,Academic Support Listening/Speaking,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring"
ESL 0560,Research Writing I,English as a Second Language,3.0; Graded Pass/Fail Only,,,Fall
ESL 0580,Research Writing II,English as a Second Language,3.0; Graded Pass/Fail Only,,,Spring
ESL 0590,Academic Support Spec Topics,English as a Second Language,variable to   4.0;  May be repeated; Graded Pass/Fail Only,,,On Demand
ESL 0599,Academic Support Indep Study,English as a Second Language,variable to   6.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
FA 1662,Introduction to Audio Production,Visual and Performing Arts,1.0,,,Fall
FA 1664,Introduction to Music Mixing,Visual and Performing Arts,1.0,,,Spring
FA 1701,Backstage Technology,Visual and Performing Arts,3.0,,,"Fall, Spring"
FA 1702,Lighting and Sound Technology,Visual and Performing Arts,3.0,,,"Fall, Spring"
FA 1703,Costume Technology,Visual and Performing Arts,3.0,,,Fall
FA 2050,Drawing I,Visual and Performing Arts,3.0,,,"Fall, Summer"
FA 2123,World Music,Visual and Performing Arts,3.0,,,"Fall, Summer - Offered alternate years beginning with the 2017-2018 academic year "
FA 2150,Creative Drawing,Visual and Performing Arts,3.0,,,"Fall, Spring"
FA 2160,Creative Practices,Visual and Performing Arts,3.0,,,"Fall, Spring - Offered alternate years beginning with the 2016-2017 academic year "
FA 2190,Art and Nature,Visual and Performing Arts,3.0,,,"Fall, Spring - Offered alternate years beginning with the 2016-2017 academic year "
FA 2200,Watermedia I,Visual and Performing Arts,3.0,,,On Demand
FA 2222,Film Music,Visual and Performing Arts,3.0,,,"Fall, Summer"
FA 2300,Two-Dimensional Design,Visual and Performing Arts,3.0,,,Fall
FA 2305,Ceramics I,Visual and Performing Arts,3.0,,,"Fall, Spring, Summer"
FA 2315,Beginning Wheel Throwing,Visual and Performing Arts,3.0,,,Fall
FA 2320,Color and Meaning,Visual and Performing Arts,3.0,,,"Fall, Spring"
FA 2330,Art Appreciation,Visual and Performing Arts,3.0,,,"Fall, Spring, Summer"
FA 2361,Scenic Art &amp; Scenic Illustration,Visual and Performing Arts,3.0,,,Spring - Offered alternate years beginning with the 2016-2017 academic year 
FA 2400,Huskies Pep Band,Visual and Performing Arts,1.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring"
FA 2402,Campus Concert Band,Visual and Performing Arts,1.0;  May be repeated; Graded Pass/Fail Only,,,Spring
FA 2430,Research and Development Jazz Band,Visual and Performing Arts,1.0;  May be repeated,,,"Fall, Spring"
FA 2445,Three-Dimensional Design,Visual and Performing Arts,3.0,,,Spring
FA 2500,Music Theory I,Visual and Performing Arts,3.0,,,"Fall, Summer"
FA 2501,"Basic Musicianship: Skill Acquisition in Music Reading, Sight-Singing, and Ear-Training",Visual and Performing Arts,3.0,,,Fall
FA 2520,Music Appreciation,Visual and Performing Arts,3.0,,,"Fall, Spring, Summer"
FA 2570,"Music Lessons for Brass, Woodwind, String, Percussion, Harp, Piano, Voice, Guitar",Visual and Performing Arts,0.5;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
FA 2580,Group Voice,Visual and Performing Arts,3.0,,,"Spring, Summer"
FA 2600,Beginning Acting,Visual and Performing Arts,3.0,,,"Fall, Spring"
FA 2640,Stage Makeup,Visual and Performing Arts,3.0,,,Spring - Offered alternate years beginning with the 2009-2010 academic year 
FA 2650,Audition Techniques,Visual and Performing Arts,3.0,FA 2600,,Spring - Offered alternate years beginning with the 2016-2017 academic year 
FA 2660,Acting Practicum,Visual and Performing Arts,1.0;  May be repeated,,,"Fall, Spring, Summer"
FA 2661,Backstage Practicum,Visual and Performing Arts,variable to   3.0;  May be repeated,,,"Fall, Spring"
FA 2662,Sound Practicum,Visual and Performing Arts,variable to   3.0;  May be repeated,FA 1702 and (FA 1662 or FA 1664),,"Fall, Spring"
FA 2663,Career Development,Visual and Performing Arts,1.0;  Repeatable to a Max of 6,,,"Fall, Spring"
FA 2701,Drafting for the Entertainment Industry,Visual and Performing Arts,3.0,,,"Spring, Summer"
FA 2710,Movement for Performers,Visual and Performing Arts,3.0,,,Fall - Offered alternate years beginning with the 2009-2010 academic year 
FA 2720,Sound in Art and Science,Visual and Performing Arts,3.0,,,"Fall, Summer - Offered alternate years beginning with the 2014-2015 academic year "
FA 2820,Theatre Appreciation,Visual and Performing Arts,3.0,,,"Fall, Spring, Summer"
FA 2830,Voice and Articulation,Visual and Performing Arts,3.0,,,Fall - Offered alternate years beginning with the 2010-2011 academic year 
FA 3000,Visual &amp; Performing Arts Tour,Visual and Performing Arts,variable to   3.0;  May be repeated; Graded Pass/Fail Only,,,On Demand
FA 3112,Music Composition I,Visual and Performing Arts,3.0,FA 2500 and FA 3530,,Fall
FA 3122,Music Composition II,Visual and Performing Arts,3.0,FA 2500 and FA 3530 and FA 3112,,Spring
FA 3133,Contemporary Music: The Search for New Sounds,Visual and Performing Arts,3.0,FA 2500 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2013-2014 academic year 
FA 3150,Drawing II,Visual and Performing Arts,3.0,FA 2050 or FA 2150 or FA 2200 or FA 2300 or FA 2305 or FA 2330,,Spring
FA 3200,Creative Watermedia,Visual and Performing Arts,3.0,,,On Demand
FA 3305,Creative Ceramics,Visual and Performing Arts,3.0,,,"Spring, Summer"
FA 3330 - Art History,Art History - Prehistory to Renaissance,Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Summer"
FA 3333,Sculpture,Visual and Performing Arts,3.0,,,"Fall, Spring"
FA 3335,Sculpture II,Visual and Performing Arts,3.0,FA 3333,,Spring
FA 3340 - Art History,Art History - Renaissance to Today,Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Spring, Summer"
FA 3360,Ceramic Sculpture,Visual and Performing Arts,3.0,FA 2305 or FA 3305,,On Demand
FA 3400,Keweenaw Symphony Orchestra,Visual and Performing Arts,1.0;  May be repeated,,,"Fall, Spring"
FA 3401,Wind Symphony,Visual and Performing Arts,1.0;  May be repeated,,,"Fall, Spring"
FA 3430,Jazz Lab Band,Visual and Performing Arts,1.0;  May be repeated,,,"Fall, Spring"
FA 3501,Conducting and Interpretation,Visual and Performing Arts,3.0,FA 2500,,"Fall, Spring"
FA 3510,Concert Choir,Visual and Performing Arts,1.0;  May be repeated,,,"Fall, Spring, Summer"
FA 3530,Music Theory II,Visual and Performing Arts,3.0,FA 2500,,"Spring, Summer"
FA 3550,History of Jazz,Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Summer - Offered alternate years beginning with the 2009-2010 academic year "
FA 3560,Music History,Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Spring, Summer"
FA 3565,Masterworks in Western Music Literature,Visual and Performing Arts,3.0;  Repeatable to a Max of 6,FA 2500(C) or FA 2501(C),,Fall - Offered alternate years beginning with the 2013-2014 academic year 
FA 3580,Chamber Choir,Visual and Performing Arts,1.0;  May be repeated,,,"Fall, Spring"
FA 3600,Advanced Acting,Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
FA 3620,Acting for Television and Film,Visual and Performing Arts,3.0,,,Spring - Offered alternate years beginning with the 2013-2014 academic year 
FA 3625,History of Rock,Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Summer - Offered alternate years beginning with the 2016-2017 academic year "
FA 3630,"The Beatles and the Beach Boys: An Analysis of Their Music, Their Evolution, Their Rivalry",Visual and Performing Arts,3.0,,,Summer
FA 3650,Stage Management,Visual and Performing Arts,3.0,,,Spring - Offered alternate years beginning with the 2009-2010 academic year 
FA 3660,Advanced Acting Practicum for Film/Video/Stage,Visual and Performing Arts,1.0;  May be repeated,FA 2660,,"Fall, Spring"
FA 3661,Design &amp;  Management Practicum,Visual and Performing Arts,variable to   3.0;  May be repeated,FA 2661,,"Fall, Spring"
FA 3662,Advanced Sound Practicum,Visual and Performing Arts,variable to   3.0;  May be repeated,FA 1662 and FA 1664 and FA 1702 and FA 2662 and FA 3730,,"Fall, Spring, Summer"
FA 3663,Professional Presentation,Visual and Performing Arts,1.0;  Repeatable to a Max of 4,FA 3700(C) or FA 3730(C) or FA 3750(C) or FA 3760(C),,"Fall, Spring"
FA 3680,Period Acting Styles,Visual and Performing Arts,3.0,FA 2600 or FA 2820,,Fall - Offered alternate years beginning with the 2008-2009 academic year 
FA 3700,Scenic Design,Visual and Performing Arts,3.0,FA 1701 or FA 2820,,Spring - Offered alternate years beginning with the 2000-2001 academic year 
FA 3701,Advanced Backstage Technology,Visual and Performing Arts,3.0,FA 1701 or FA 2701,,Fall - Offered alternate years beginning with the 2011-2012 academic year 
FA 3703,Advanced Costume Construction,Visual and Performing Arts,3.0,FA 1703,,Spring - Offered alternate years beginning with the 2015-2016 academic year 
FA 3710,Vocal Approaches for Theatre and Electronic Media,Visual and Performing Arts,3.0,,,Spring - Offered alternate years beginning with the 2008-2009 academic year 
FA 3730,Sound Design,Visual and Performing Arts,3.0,FA 1662 and FA 1664 and FA 1702,,Fall
FA 3731,Live Sound Design Intensive,Visual and Performing Arts,1.0,FA 1662 and FA 1664 and FA 1702 and FA 2662 and FA 3730,,Fall
FA 3732,Audio Creative Lab,Visual and Performing Arts,1.0;  Repeatable to a Max of 4,FA 1662 and FA 1664 and FA 1702 and FA 3730,,Spring
FA 3736,Sound Systems Design and Engineering,Visual and Performing Arts,3.0,FA 1662 and FA 1664 and FA 1702,,Spring - Offered alternate years beginning with the 2015-2016 academic year 
FA 3740,Recording,Visual and Performing Arts,3.0,FA 1662 and FA 1664 and FA 1702,FA 3741,Spring
FA 3741,Recording Lab,Visual and Performing Arts,1.0,FA 1662 and FA 1664 and FA 1702,FA 3740,Spring
FA 3750,Lighting Design,Visual and Performing Arts,3.0,FA 1702 or FA 2820,,Spring - Offered alternate years beginning with the 2005-2006 academic year 
FA 3760,Costume Design,Visual and Performing Arts,3.0,,,Fall - Offered alternate years beginning with the 2003-2004 academic year 
FA 3780,Directing for Theatre,Visual and Performing Arts,3.0,FA 2800,,On Demand
FA 3810,Theatre History I,Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2016-2017 academic year 
FA 3821,Theatre History II,Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2016-2017 academic year 
FA 3830,The Broadway Musical,Visual and Performing Arts,3.0,,,On Demand
FA 3860,Costume History,Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2012-2013 academic year 
FA 3880,Readings in Dramatic Literature,Visual and Performing Arts,1.0;  Repeatable to a Max of 4,,,"Fall, Spring, Summer"
FA 3975,Portfolio Development,Visual and Performing Arts,1.0,,,Fall
FA 4150,Advanced Drawing Studio,Visual and Performing Arts,variable to   6.0;  Repeatable to a Max of 6,FA 2050 or FA 2150,,"Fall, Spring"
FA 4190,"Society, Art, and Environment",Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2016-2017 academic year 
FA 4200,Advanced Watermedia Studio,Visual and Performing Arts,variable to   6.0;  Repeatable to a Max of 6,FA 2200 or FA 3200,,On Demand
FA 4300,Advanced Sculpture Studio,Visual and Performing Arts,variable to   6.0;  Repeatable to a Max of 6,FA 3333 or FA 3335,,On Demand
FA 4400,Chamber Music Seminar,Visual and Performing Arts,1.0;  Repeatable to a Max of 6,,,"Fall, Spring"
FA 4420,Music Performance: Jazz,Visual and Performing Arts,variable to   3.0;  Repeatable to a Max of 6,,,"Fall, Spring"
FA 4620,Musical Theatre Performance,Visual and Performing Arts,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2009-2010 academic year 
FA 4701,Stage Mechanics and Rigging,Visual and Performing Arts,3.0,FA 1701,,Fall - Offered alternate years beginning with the 2010-2011 academic year 
FA 4740,Transducer Theory,Visual and Performing Arts,3.0,FA 1702 and FA 2662 and FA 3730 and PH 1090,FA 4741,Spring
FA 4741,Transducer Theory Lab,Visual and Performing Arts,1.0,,FA 4740,Spring
FA 4800,Jazz Improvisation,Visual and Performing Arts,3.0,FA 3530,,Fall - Offered alternate years beginning with the 2001-2002 academic year 
FA 4820,Jazz Arranging,Visual and Performing Arts,3.0,FA 2500 and FA 3530,,Spring - Offered alternate years beginning with the 2003-2004 academic year 
FA 4900,Independent Study in Visual and Performing Arts,Visual and Performing Arts,variable to   3.0;  May be repeated,,,"Fall, Spring, Summer"
FA 4950,Special Topics in Visual &amp; Performing Arts,Visual and Performing Arts,variable to   3.0;  May be repeated,,,On Demand
FA 4960,Special Topics Workshop,Visual and Performing Arts,variable to   6.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
FA 4970,Visual and Performing Arts Final Project,Visual and Performing Arts,variable to   3.0,,,"Fall, Spring, Summer"
FA 4975,Portfolio Presentation,Visual and Performing Arts,variable to   3.0;  Repeatable to a Max of 3,,,"Fall, Spring, Summer"
FIN 3000,Principles of Finance,Finance,3.0,(MA 2710 or MA 2720 or MA 3710 or BUS 2100) and ACC 2100(C),,"Fall, Spring, Summer"
FIN 4000,Investment Analysis,Finance,3.0,EC 3400 or FIN 3000,,Spring
FIN 4100,Advanced Financial Management,Finance,3.0,EC 3400 or FIN 3000,,Fall
FIN 4200,Derivatives and Financial Engineering,Finance,3.0,EC 3400 or FIN 3000,,Fall
FIN 4300,Personal Financial Planning,Finance,3.0,BA 3400 or EC 3400 or FIN 3000,,"Fall, Spring"
FIN 4400,Security Analysis,Finance,3.0,FIN 3000 or EC 3400,,"Fall, Spring"
FIN 4500,Financial Risk Management,Finance,3.0,FIN 3000 or EC 3400,,"Fall, Spring"
FIN 4700,Global Finance,Finance,3.0,BA 3400 or EC 3400 or FIN 3000,,Fall
FIN 4801,Applied Portfolio Management I,Finance,variable to   3.0,,,Summer
FIN 4802,Applied Portfolio Management II,Finance,variable to   3.0,,,Fall
FIN 4803,Applied Portfolio Management III,Finance,variable to   3.0,,,Spring
FIN 4990,Special Topics in Finance,Finance,variable to   3.0;  Repeatable to a Max of 6,EC 3400 or FIN 3000,,On Demand
FW 1035,Wood Anatomy and Properties,Forest Resources &amp; Env Science,4.0,,,Spring
FW 1050,The Natural Resource Professional,Forest Resources &amp; Env Science,2.0,,,Spring
FW 2010,Vegetation of North America,Forest Resources &amp; Env Science,4.0,,,Fall
FW 2030,Natural Resources Conservation,Forest Resources &amp; Env Science,2.0,,,Fall
FW 2051,Field Techniques,Forest Resources &amp; Env Science,2.0,,,Fall
FW 3010,Practice of Silviculture,Forest Resources &amp; Env Science,4.0,FW 2010 and FW 2051,,"Fall, Summer"
FW 3012,Survey of Silviculture,Forest Resources &amp; Env Science,2.0,FW 2010 and FW 2051,,"Fall, Summer"
FW 3020,Forest Ecology,Forest Resources &amp; Env Science,3.0,FW 2010(C) and FW 2051(C),,Fall
FW 3075,Introduction to Biotechnology,Forest Resources &amp; Env Science,3.0,,,Spring
FW 3098,Wood Processing and Manufacture,Forest Resources &amp; Env Science,2.0,FW 1035,,Fall - Offered alternate years beginning with the 2016-2017 academic year 
FW 3110,Natural Resource Policy,Forest Resources &amp; Env Science,3.0,,,"Spring, Summer"
FW 3115,"Natural Resources, Ethics, and the Environment",Forest Resources &amp; Env Science,2.0,,,Fall
FW 3150,Timber Harvesting,Forest Resources &amp; Env Science,2.0,FW 2051,,"Fall, Summer"
FW 3170,Land Measurements and GPS,Forest Resources &amp; Env Science,1.0,FW 3540,FW 3190,"Fall, Summer"
FW 3180,"Geomorphology, Landscapes and Ecosystems",Forest Resources &amp; Env Science,2.0,,,"Fall, Summer"
FW 3190,Multi-resource Assessment,Forest Resources &amp; Env Science,3.0,FW 2051 and FW 3020 and FW 3200 and (MA 2710 or MA 2720 or MA 3710),,"Fall, Summer"
FW 3200,Biometrics and Data Analysis,Forest Resources &amp; Env Science,4.0,FW 2051 and (MA 2710 or MA 2720 or MA 3710),,Spring
FW 3313,"Sustainability Science, Policy, and Assessment",Forest Resources &amp; Env Science,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2016-2017 academic year 
FW 3320,Fundamentals of Forest Genetics and Genomics,Forest Resources &amp; Env Science,3.0,,,Spring
FW 3330,Soil Science,Forest Resources &amp; Env Science,4.0,CH 1112(C) or (CH 1150(C) and CH 1151(C)),,Fall
FW 3376,Forest &amp; Environmental Resource Management (The FERM) I,Forest Resources &amp; Env Science,2.0;  May be repeated,FW 2010 and FW 2051,,"Fall, Spring, Summer"
FW 3377,Forest &amp; Environmental Resource Management (The FERM) II,Forest Resources &amp; Env Science,3.0;  May be repeated,FW 2010 and FW 2051,,"Fall, Spring, Summer"
FW 3410,Conservation Biology,Forest Resources &amp; Env Science,3.0,,,Spring
FW 3510,Outdoor Recreation and Tourism,Forest Resources &amp; Env Science,3.0,,,Spring
FW 3540,An Introduction to Geographic Information Systems for Natural Resource Management,Forest Resources &amp; Env Science,4.0,MA 2710(C) or MA 2720(C) or MA 3710(C) or ENVE 3502(C),,Spring
FW 3600,Wildlife Habitat,Forest Resources &amp; Env Science,3.0,,,"Fall, Summer"
FW 3610,Ornithology,Forest Resources &amp; Env Science,4.0,BL 1040 or BL 1020,,Spring
FW 3620,Field Ornithology,Forest Resources &amp; Env Science,1.0,,,Summer
FW 3640,Aquatic Ecosystems,Forest Resources &amp; Env Science,2.0,,,Fall
FW 3760,Human Dimensions of Natural Resources,Forest Resources &amp; Env Science,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
